primary_type,year,count
PUBLIC INDECENCY,2008,4
OTHER NARCOTIC VIOLATION,2008,12
OBSCENITY,2008,13
CRIMINAL SEXUAL ASSAULT,2008,67
STALKING,2008,190
INTIMIDATION,2008,261
KIDNAPPING,2008,359
HOMICIDE,2008,513
INTERFERENCE WITH PUBLIC OFFICER,2008,580
ARSON,2008,644
LIQUOR LAW VIOLATION,2008,912
GAMBLING,2008,1199
CRIM SEXUAL ASSAULT,2008,1499
SEX OFFENSE,2008,1505
OFFENSE INVOLVING CHILDREN,2008,2676
PUBLIC PEACE VIOLATION,2008,3013
WEAPONS VIOLATION,2008,3877
PROSTITUTION,2008,5141
CRIMINAL TRESPASS,2008,12310
DECEPTIVE PRACTICE,2008,14943
ROBBERY,2008,16703
MOTOR VEHICLE THEFT,2008,18881
ASSAULT,2008,25448
BURGLARY,2008,26218
OTHER OFFENSE,2008,26532
NARCOTICS,2008,46506
CRIMINAL DAMAGE,2008,52843
BATTERY,2008,75930
THEFT,2008,88437
HUMAN TRAFFICKING,2009,1
OTHER NARCOTIC VIOLATION,2009,7
PUBLIC INDECENCY,2009,10
OBSCENITY,2009,21
CRIMINAL SEXUAL ASSAULT,2009,63
STALKING,2009,168
INTIMIDATION,2009,231
KIDNAPPING,2009,293
HOMICIDE,2009,461
INTERFERENCE WITH PUBLIC OFFICER,2009,573
ARSON,2009,616
LIQUOR LAW VIOLATION,2009,746
GAMBLING,2009,991
SEX OFFENSE,2009,1268
CRIM SEXUAL ASSAULT,2009,1388
OFFENSE INVOLVING CHILDREN,2009,2640
PUBLIC PEACE VIOLATION,2009,3147
PROSTITUTION,2009,3940
WEAPONS VIOLATION,2009,4159
CRIMINAL TRESPASS,2009,10851
DECEPTIVE PRACTICE,2009,13896
MOTOR VEHICLE THEFT,2009,15482
ROBBERY,2009,15981
ASSAULT,2009,22861
OTHER OFFENSE,2009,25601
BURGLARY,2009,26767
NARCOTICS,2009,43543
CRIMINAL DAMAGE,2009,47725
BATTERY,2009,68460
THEFT,2009,80977
HUMAN TRAFFICKING,2010,1
OTHER NARCOTIC VIOLATION,2010,6
PUBLIC INDECENCY,2010,7
OBSCENITY,2010,34
CRIMINAL SEXUAL ASSAULT,2010,80
STALKING,2010,189
