arrest,prob_positive,model
1,0.17416049351148788,Logistic Regression
0,0.1716285926067792,Logistic Regression
0,0.07007310134848388,Logistic Regression
1,0.17759973873985369,Logistic Regression
0,0.04620157173730188,Logistic Regression
0,0.21994946782947555,Logistic Regression
0,0.0658908335724454,Logistic Regression
0,0.30424184469999704,Logistic Regression
0,0.06392862428036639,Logistic Regression
0,0.06304913561771963,Logistic Regression
0,0.05344601932447668,Logistic Regression
0,0.1979515632702714,Logistic Regression
0,0.02735927891909462,Logistic Regression
0,0.03690882160174913,Logistic Regression
0,0.056006084080559404,Logistic Regression
0,0.17752191920250082,Logistic Regression
0,0.1609811052167015,Logistic Regression
0,0.05321483908128588,Logistic Regression
0,0.2331142996178155,Logistic Regression
0,0.14397928066926957,Logistic Regression
0,0.04662862984438343,Logistic Regression
1,0.03586283731203033,Logistic Regression
0,0.0301334539469027,Logistic Regression
0,0.0335722591961084,Logistic Regression
0,0.02624857035320871,Logistic Regression
0,0.06415189478914496,Logistic Regression
0,0.39114638757788234,Logistic Regression
0,0.3716572135877564,Logistic Regression
1,0.9367421655480499,Logistic Regression
0,0.06378322162170202,Logistic Regression
1,0.36322564695492965,Logistic Regression
1,0.8472925959214608,Logistic Regression
0,0.014683270190002484,Logistic Regression
0,0.06685283626893668,Logistic Regression
1,0.8639990739630987,Logistic Regression
0,0.04882384667467288,Logistic Regression
0,0.0201927694505305,Logistic Regression
0,0.043314929431718885,Logistic Regression
0,0.03543422119963413,Logistic Regression
0,0.18915652398296856,Logistic Regression
0,0.10696874609039131,Logistic Regression
1,0.17441844249545657,Logistic Regression
0,0.058657590187352615,Logistic Regression
0,0.2695889031951536,Logistic Regression
0,0.03284455191059743,Logistic Regression
0,0.05266097912254164,Logistic Regression
0,0.1733254666784918,Logistic Regression
0,0.3418963962431646,Logistic Regression
1,0.8755989477783382,Logistic Regression
1,0.8315329067149744,Logistic Regression
0,0.032778749016325714,Logistic Regression
0,0.10723595260949204,Logistic Regression
0,0.03925300325203318,Logistic Regression
0,0.04087492327675224,Logistic Regression
0,0.10903514616706589,Logistic Regression
0,0.07892851970109571,Logistic Regression
0,0.08309187875070811,Logistic Regression
0,0.01552672091779106,Logistic Regression
0,0.02140984500408838,Logistic Regression
0,0.17366048684522473,Logistic Regression
0,0.6279331392483387,Logistic Regression
1,0.15420247055775005,Logistic Regression
0,0.2559600561722828,Logistic Regression
0,0.055070911273218504,Logistic Regression
0,0.06392614932669116,Logistic Regression
0,0.02241454466081616,Logistic Regression
1,0.6198552412314766,Logistic Regression
0,0.041283736457348175,Logistic Regression
0,0.03650240042808761,Logistic Regression
0,0.36610068544297314,Logistic Regression
0,0.38728978752397236,Logistic Regression
0,0.04246158083234164,Logistic Regression
0,0.2922578180506614,Logistic Regression
0,0.17094994936785057,Logistic Regression
0,0.08527980873690644,Logistic Regression
1,0.21123088581216332,Logistic Regression
1,0.8236754859059391,Logistic Regression
0,0.08062260601106463,Logistic Regression
0,0.03615309230110464,Logistic Regression
0,0.06567987862154645,Logistic Regression
0,0.3595721739100062,Logistic Regression
0,0.19576436348904658,Logistic Regression
0,0.040601481635840986,Logistic Regression
0,0.02922209109135454,Logistic Regression
0,0.049362832209777996,Logistic Regression
0,0.031098705440557595,Logistic Regression
0,0.03697908764351021,Logistic Regression
0,0.08919163180950851,Logistic Regression
0,0.06008553530706373,Logistic Regression
0,0.19997852022079032,Logistic Regression
0,0.24071391847441903,Logistic Regression
0,0.0330767006155146,Logistic Regression
0,0.17983376036225585,Logistic Regression
0,0.053607728570335356,Logistic Regression
0,0.21262327877553477,Logistic Regression
0,0.0658476820947339,Logistic Regression
1,0.6338555960417204,Logistic Regression
0,0.19221520094468203,Logistic Regression
0,0.03684235873588182,Logistic Regression
0,0.03464447010719218,Logistic Regression
0,0.11222799254161353,Logistic Regression
0,0.06636139934573848,Logistic Regression
0,0.07620947853004723,Logistic Regression
0,0.03944794311878741,Logistic Regression
0,0.025386868182538547,Logistic Regression
0,0.04491835732196481,Logistic Regression
0,0.05447849758893741,Logistic Regression
0,0.040159990528012446,Logistic Regression
0,0.0866601523249505,Logistic Regression
0,0.17701715746473135,Logistic Regression
0,0.14528647404443162,Logistic Regression
1,0.5210647945604061,Logistic Regression
0,0.017887884999042925,Logistic Regression
0,0.17240620613697877,Logistic Regression
0,0.14814635415934618,Logistic Regression
0,0.05369366902690431,Logistic Regression
0,0.03982875566146704,Logistic Regression
0,0.23367748696261048,Logistic Regression
0,0.4592059310300063,Logistic Regression
0,0.19713991546430953,Logistic Regression
0,0.35029969873822897,Logistic Regression
0,0.028451327903169288,Logistic Regression
