primary_type,arrest,count
THEFT,0,880612
BATTERY,0,633463
CRIMINAL DAMAGE,0,463405
NARCOTICS,1,363681
ASSAULT,0,241263
BURGLARY,0,232883
OTHER OFFENSE,0,225238
DECEPTIVE PRACTICE,0,224761
MOTOR VEHICLE THEFT,0,192671
BATTERY,1,170178
ROBBERY,0,156235
THEFT,1,97517
CRIMINAL TRESPASS,1,68698
ASSAULT,1,59316
WEAPONS VIOLATION,1,54279
OTHER OFFENSE,1,49130
CRIMINAL TRESPASS,0,41468
OFFENSE INVOLVING CHILDREN,0,30137
CRIMINAL DAMAGE,1,30131
PROSTITUTION,1,24259
PUBLIC PEACE VIOLATION,1,22833
DECEPTIVE PRACTICE,1,21887
WEAPONS VIOLATION,0,21094
ROBBERY,1,15704
CRIM SEXUAL ASSAULT,0,13972
SEX OFFENSE,0,13635
INTERFERENCE WITH PUBLIC OFFICER,1,13473
BURGLARY,1,13327
MOTOR VEHICLE THEFT,1,12827
PUBLIC PEACE VIOLATION,0,10011
GAMBLING,1,6590
ARSON,0,6490
LIQUOR LAW VIOLATION,1,6107
OFFENSE INVOLVING CHILDREN,1,6103
CRIMINAL SEXUAL ASSAULT,0,6018
HOMICIDE,0,4845
HOMICIDE,1,3803
SEX OFFENSE,1,3753
KIDNAPPING,0,2888
STALKING,0,2826
NARCOTICS,0,2403
CRIM SEXUAL ASSAULT,1,2196
INTIMIDATION,0,2145
CONCEALED CARRY LICENSE VIOLATION,1,983
INTERFERENCE WITH PUBLIC OFFICER,0,976
ARSON,1,728
CRIMINAL SEXUAL ASSAULT,1,597
OBSCENITY,1,521
STALKING,1,394
INTIMIDATION,1,334
KIDNAPPING,1,293
OBSCENITY,0,166
PUBLIC INDECENCY,1,146
PROSTITUTION,0,122
HUMAN TRAFFICKING,0,83
LIQUOR LAW VIOLATION,0,82
OTHER NARCOTIC VIOLATION,1,62
GAMBLING,0,56
CONCEALED CARRY LICENSE VIOLATION,0,35
OTHER NARCOTIC VIOLATION,0,33
NON-CRIMINAL,0,12
HUMAN TRAFFICKING,1,12
NON-CRIMINAL,1,5
PUBLIC INDECENCY,0,2
RITUALISM,0,1
